"year","iso3","country","annual_precip","Value.Footnotes","Unit","annual_precip_lag","temp_IQR","mean.pct.change","measure_id","measure_name","location_id","location_name","sex_id","sex_name","age_id","age_name","cause_id","cause_name","metric_id","metric_name","disease_value","disease_upperCI","disease_lowerCI","refugee_type","num_refugee_persons","urban_perc"
1995,"PRY","Paraguay",517728.375,"","million cubic metres",462376.59375,5.5891,0.0605569840808469,6,"Incidence",136,"Paraguay",3,"Both",22,"All Ages",357,"Dengue",1,"Number",14161.4990528,26845.1287784,815.55366578,"Refugees (incl. refugee-like situations)",60,52.131
1995,"PRY","Paraguay",517728.375,"","million cubic metres",462376.59375,5.5891,0.0605569840808469,6,"Incidence",136,"Paraguay",3,"Both",22,"All Ages",357,"Dengue",1,"Number",14161.4990528,26845.1287784,815.55366578,"Asylum-seekers (pending cases)",0,52.131
1995,"PRY","Paraguay",517728.375,"","million cubic metres",462376.59375,5.5891,0.0605569840808469,6,"Incidence",136,"Paraguay",3,"Both",22,"All Ages",357,"Dengue",1,"Number",14161.4990528,26845.1287784,815.55366578,"Returned refugees",0,52.131
1995,"PRY","Paraguay",517728.375,"","million cubic metres",462376.59375,5.5891,0.0605569840808469,6,"Incidence",136,"Paraguay",3,"Both",22,"All Ages",357,"Dengue",1,"Number",14161.4990528,26845.1287784,815.55366578,"Internally displaced persons (IDPs)",0,52.131
1995,"PRY","Paraguay",517728.375,"","million cubic metres",462376.59375,5.5891,0.0605569840808469,6,"Incidence",136,"Paraguay",3,"Both",22,"All Ages",357,"Dengue",1,"Number",14161.4990528,26845.1287784,815.55366578,"Returned IDPs",0,52.131
1995,"PRY","Paraguay",517728.375,"","million cubic metres",462376.59375,5.5891,0.0605569840808469,6,"Incidence",136,"Paraguay",3,"Both",22,"All Ages",357,"Dengue",1,"Number",14161.4990528,26845.1287784,815.55366578,"Stateless persons",0,52.131
1995,"PRY","Paraguay",517728.375,"","million cubic metres",462376.59375,5.5891,0.0605569840808469,6,"Incidence",136,"Paraguay",3,"Both",22,"All Ages",357,"Dengue",1,"Number",14161.4990528,26845.1287784,815.55366578,"Others of concern",0,52.131
1995,"PRY","Paraguay",517728.375,"","million cubic metres",462376.59375,5.5891,0.0605569840808469,6,"Incidence",136,"Paraguay",3,"Both",22,"All Ages",357,"Dengue",1,"Number",14161.4990528,26845.1287784,815.55366578,"Total Population",60,52.131
1995,"PRY","Paraguay",517728.375,"","million cubic metres",462376.59375,5.5891,0.0605569840808469,6,"Incidence",136,"Paraguay",3,"Both",22,"All Ages",345,"Malaria",1,"Number",3302.41643921,4424.32324973,2438.82441519,"Refugees (incl. refugee-like situations)",60,52.131
1995,"PRY","Paraguay",517728.375,"","million cubic metres",462376.59375,5.5891,0.0605569840808469,6,"Incidence",136,"Paraguay",3,"Both",22,"All Ages",345,"Malaria",1,"Number",3302.41643921,4424.32324973,2438.82441519,"Asylum-seekers (pending cases)",0,52.131
1995,"PRY","Paraguay",517728.375,"","million cubic metres",462376.59375,5.5891,0.0605569840808469,6,"Incidence",136,"Paraguay",3,"Both",22,"All Ages",345,"Malaria",1,"Number",3302.41643921,4424.32324973,2438.82441519,"Returned refugees",0,52.131
1995,"PRY","Paraguay",517728.375,"","million cubic metres",462376.59375,5.5891,0.0605569840808469,6,"Incidence",136,"Paraguay",3,"Both",22,"All Ages",345,"Malaria",1,"Number",3302.41643921,4424.32324973,2438.82441519,"Internally displaced persons (IDPs)",0,52.131
1995,"PRY","Paraguay",517728.375,"","million cubic metres",462376.59375,5.5891,0.0605569840808469,6,"Incidence",136,"Paraguay",3,"Both",22,"All Ages",345,"Malaria",1,"Number",3302.41643921,4424.32324973,2438.82441519,"Returned IDPs",0,52.131
1995,"PRY","Paraguay",517728.375,"","million cubic metres",462376.59375,5.5891,0.0605569840808469,6,"Incidence",136,"Paraguay",3,"Both",22,"All Ages",345,"Malaria",1,"Number",3302.41643921,4424.32324973,2438.82441519,"Stateless persons",0,52.131
1995,"PRY","Paraguay",517728.375,"","million cubic metres",462376.59375,5.5891,0.0605569840808469,6,"Incidence",136,"Paraguay",3,"Both",22,"All Ages",345,"Malaria",1,"Number",3302.41643921,4424.32324973,2438.82441519,"Others of concern",0,52.131
1995,"PRY","Paraguay",517728.375,"","million cubic metres",462376.59375,5.5891,0.0605569840808469,6,"Incidence",136,"Paraguay",3,"Both",22,"All Ages",345,"Malaria",1,"Number",3302.41643921,4424.32324973,2438.82441519,"Total Population",60,52.131
1995,"SRB","Serbia",57020,"","million cubic metres",56915,11.6489875,0.680255966606962,6,"Incidence",53,"Serbia",3,"Both",22,"All Ages",345,"Malaria",1,"Number",0,0,0,"Refugees (incl. refugee-like situations)",650700,51.651
1995,"SRB","Serbia",57020,"","million cubic metres",56915,11.6489875,0.680255966606962,6,"Incidence",53,"Serbia",3,"Both",22,"All Ages",345,"Malaria",1,"Number",0,0,0,"Asylum-seekers (pending cases)",0,51.651
1995,"SRB","Serbia",57020,"","million cubic metres",56915,11.6489875,0.680255966606962,6,"Incidence",53,"Serbia",3,"Both",22,"All Ages",345,"Malaria",1,"Number",0,0,0,"Returned refugees",26,51.651
1995,"SRB","Serbia",57020,"","million cubic metres",56915,11.6489875,0.680255966606962,6,"Incidence",53,"Serbia",3,"Both",22,"All Ages",345,"Malaria",1,"Number",0,0,0,"Internally displaced persons (IDPs)",490,51.651
1995,"SRB","Serbia",57020,"","million cubic metres",56915,11.6489875,0.680255966606962,6,"Incidence",53,"Serbia",3,"Both",22,"All Ages",345,"Malaria",1,"Number",0,0,0,"Returned IDPs",0,51.651
1995,"SRB","Serbia",57020,"","million cubic metres",56915,11.6489875,0.680255966606962,6,"Incidence",53,"Serbia",3,"Both",22,"All Ages",345,"Malaria",1,"Number",0,0,0,"Stateless persons",0,51.651
1995,"SRB","Serbia",57020,"","million cubic metres",56915,11.6489875,0.680255966606962,6,"Incidence",53,"Serbia",3,"Both",22,"All Ages",345,"Malaria",1,"Number",0,0,0,"Others of concern",0,51.651
1995,"SRB","Serbia",57020,"","million cubic metres",56915,11.6489875,0.680255966606962,6,"Incidence",53,"Serbia",3,"Both",22,"All Ages",345,"Malaria",1,"Number",0,0,0,"Total Population",651216,51.651
1995,"SRB","Serbia",57020,"","million cubic metres",56915,11.6489875,0.680255966606962,6,"Incidence",53,"Serbia",3,"Both",22,"All Ages",357,"Dengue",1,"Number",0,0,0,"Refugees (incl. refugee-like situations)",650700,51.651
